Sample_ID,Province,City,Date_Collected,Water_Source,Pollutant_Type,Pollutant_Level_mg_L,Safe_Limit_mg_L,Exceeds_Limit,pH_Level,Temperature_C,Turbidity_NTU,Conductivity_uS_cm,Dissolved_Oxygen_mg_L,Treatment_Status,Agency_Responsible,Latitude,Longitude,Sampling_Depth_m,Comments
SMP100000,Quebec,Port Stephentown,2023-12-30,Coastal,Microplastics,35.44,23.94,True,8.89,14.4,54.9,187.18,10.9,Untreated,WaterSafe Canada,53.336879,-95.612118,3.13,Teacher prevent current any.
SMP100001,Alberta,Deanshire,2024-05-02,Groundwater,Phosphate,24.2,14.71,True,7.98,25.2,76.54,1525.52,12.31,Partially Treated,WaterSafe Canada,47.781417,-59.407985,4.89,Industry realize deep nothing.
SMP100002,British Columbia,West Catherineside,2023-03-30,River,Pathogens,13.59,19.48,False,7.73,18.9,78.58,1382.09,11.1,Untreated,CleanH2O Org,54.850576,-110.073418,3.2,Believe short how family some certain.
SMP100003,Ontario,Ryantown,2023-12-21,Lake,Mercury,9.67,26.01,False,6.8,12.6,33.37,1577.37,7.7,Partially Treated,HydroWatch,49.920359,-81.20086,1.39,Fly buy politics image network.
SMP100004,Alberta,West Lisaside,2024-04-27,Groundwater,Pathogens,30.67,4.83,True,5.44,2.5,0.97,472.16,9.39,Partially Treated,WaterSafe Canada,56.612537,-112.156988,5.15,Mr work strategy western structure beat.
SMP100005,British Columbia,Markfort,2023-03-23,Coastal,Mercury,24.77,2.75,True,5.27,29.8,49.09,528.23,3.51,Treated,EnviroCan,54.380604,-71.355102,0.27,Break let late program.
SMP100006,Manitoba,Brandontown,2022-10-21,River,Lead,48.26,2.52,True,8.57,17.3,38.71,264.84,10.58,Partially Treated,EnviroCan,52.071366,-93.451959,9.11,Drop perhaps together hour check land today.
SMP100007,Ontario,Lake Williamhaven,2022-06-21,River,Pathogens,0.88,5.2,False,5.22,23.1,30.74,1576.62,2.57,Treated,CleanH2O Org,59.55219,-64.078213,1.96,Necessary decade also age draw detail wonder arrive.
SMP100008,Quebec,Joneston,2025-01-14,Lake,Pesticides,7.14,13.06,False,7.03,14.5,68.16,1383.83,13.29,Untreated,EnviroCan,52.114981,-108.770564,7.06,Put service today by.
SMP100009,Alberta,Johnton,2024-01-06,Lake,Microplastics,49.81,28.0,True,8.74,13.1,1.61,1007.46,7.57,Partially Treated,HydroWatch,44.579756,-138.149245,8.51,Usually old whatever wonder.
SMP100010,Manitoba,Monicaport,2024-12-21,Lake,Pathogens,13.1,7.0,True,6.77,8.1,56.83,1840.36,13.29,Untreated,CleanH2O Org,58.077666,-76.973685,3.4,Tough behavior religious total weight.
SMP100011,Newfoundland and Labrador,Amandamouth,2024-09-02,Coastal,Oil,19.13,27.66,False,8.67,25.4,76.26,741.86,6.18,Partially Treated,HydroWatch,56.996314,-57.800492,6.72,Be benefit free risk issue let into.
SMP100012,Nova Scotia,Mayfort,2023-08-25,River,Pesticides,40.31,22.73,True,7.56,24.5,8.01,1807.09,2.26,Treated,HydroWatch,56.414701,-79.591834,4.96,Represent strong seek might you.
SMP100013,Prince Edward Island,Zacharyland,2023-06-09,Reservoir,Pathogens,31.56,5.28,True,6.68,19.0,46.13,1499.51,7.93,Partially Treated,CleanH2O Org,45.410283,-63.851641,5.55,Do care head now deal seek.
SMP100014,Manitoba,Murrayport,2022-05-06,Lake,Nitrate,27.94,7.62,True,7.28,23.5,42.86,305.1,6.81,Untreated,EnviroCan,47.986004,-115.118938,7.03,If hotel civil tonight market.
SMP100015,Nova Scotia,Michaelfurt,2023-12-17,Coastal,Nitrate,24.37,9.87,True,5.23,26.4,3.23,135.31,12.68,Partially Treated,WaterSafe Canada,59.270557,-122.066614,0.94,Out ground some new agency necessary.
SMP100016,New Brunswick,Josephchester,2024-12-15,Lake,Pesticides,38.44,14.93,True,8.3,7.3,31.08,1379.06,4.83,Treated,EnviroCan,51.181505,-126.856013,5.63,Good economy miss collection value language top.
