_id,batch_id,blockchain_hash,blockchain_time,created_at,dataset_1.predictions.class.Random Forest,dataset_1.predictions.class.XGBoost,dataset_1.predictions.class.SVM,dataset_1.predictions.class.KNN,dataset_1.predictions.class.MLP (Shallow),dataset_1.predictions.class.DNN (Deep),dataset_1.predictions.anomaly.Random Forest,dataset_1.predictions.anomaly.XGBoost,dataset_1.predictions.anomaly.SVM,dataset_1.predictions.anomaly.KNN,dataset_1.predictions.anomaly.MLP (Shallow),dataset_1.predictions.anomaly.DNN (Deep),dataset_2.predictions.class.Random Forest,dataset_2.predictions.class.XGBoost,dataset_2.predictions.class.SVM,dataset_2.predictions.class.KNN,dataset_2.predictions.class.MLP (Shallow),dataset_2.predictions.class.DNN (Deep),dataset_2.predictions.anomaly.Random Forest,dataset_2.predictions.anomaly.XGBoost,dataset_2.predictions.anomaly.SVM,dataset_2.predictions.anomaly.KNN,dataset_2.predictions.anomaly.MLP (Shallow),dataset_2.predictions.anomaly.DNN (Deep),measurements.batch,measurements.cond,measurements.ph,measurements.turb,measurements.temp,measurements.collected_time,measurements.device,predicted_time,real_anomaly,real_class
6a0d6018c7fdd1c8900f8995,ECODOBEM-00000020099,9ff24d348307ff948da14b7225960f33ed5b3b2e17e8dae06c0365b99f303f32,2026-05-20T03:17:44.128618,2026-05-20 15:17:44,1,1,1,1,1,1,Normal,Normal,Normal,Normal,Normal,Normal,1,1,1,1,1,1,Normal,Normal,Normal,Normal,Normal,Normal,ECODOBEM-00000020099,167.4,6.8,0.2,29.9,2026-5-20T15:17:42.000000,esp32-s3,2026-05-20T03:17:44.128618,0,1
6a0d60b9c7fdd1c8900f8996,ECODOBEM-00000020100,6f7031c205323c7af1ca4673bc7ea54842e38436b42624c67b7093f52925b8dc,2026-05-20T03:20:24.598280,2026-05-20 15:20:24,1,1,1,1,1,1,Normal,Normal,Normal,Normal,Normal,Normal,1,1,1,1,1,1,Normal,Normal,Normal,Normal,Normal,Normal,ECODOBEM-00000020100,167.2,6.8,0.2,29.9,2026-5-20T15:20:22.000000,esp32-s3,2026-05-20T03:20:24.598280,0,1
6a0d610dc7fdd1c8900f8997,ECODOBEM-00000020101,4dda7e4a3f84d05297b9d4b5aece163391d5b625c5e4bbc87d98fcf76076a333,2026-05-20T03:21:48.816353,2026-05-20 15:21:49,1,1,1,1,1,1,Normal,Normal,Normal,Normal,Normal,Normal,1,1,1,1,1,1,Normal,Normal,Normal,Normal,Normal,Normal,ECODOBEM-00000020101,167.3,6.9,0.2,29.9,2026-5-20T15:21:46.000000,esp32-s3,2026-05-20T03:21:48.816353,0,1
6a0d6161c7fdd1c8900f8998,ECODOBEM-00000020102,777db845f88dc4d1e54eea4af216b763edb4bb84c844aa711b3dbb1070721a03,2026-05-20T03:23:13.130045,2026-05-20 15:23:13,1,1,1,1,2,2,Normal,Normal,Normal,Normal,Normal,Normal,2,2,2,2,2,2,Normal,Normal,Normal,Normal,Normal,Normal,ECODOBEM-00000020102,167.4,6.9,0.2,29.9,2026-5-20T15:23:10.000000,esp32-s3,2026-05-20T03:23:13.130045,0,1
6a0d61b5c7fdd1c8900f8999,ECODOBEM-00000020103,a1ff9b95a952b3910b9dbf5ccd5201968593ab603033e29f164198ebd49dc21e,2026-05-20T03:24:37.154055,2026-05-20 15:24:37,1,1,1,1,1,1,Normal,Normal,Normal,Normal,Normal,Normal,1,1,1,1,2,2,Normal,Normal,Normal,Normal,Normal,Normal,ECODOBEM-00000020103,167.4,6.9,0.2,29.9,2026-5-20T15:24:34.000000,esp32-s3,2026-05-20T03:24:37.154055,0,1
6a0d6209c7fdd1c8900f899a,ECODOBEM-00000020104,dffc6c5a420cb3223fc25feee4da7840b557a86b6a9a9047984014d8f3341636,2026-05-20T03:26:01.256824,2026-05-20 15:26:01,1,1,1,1,1,1,Normal,Normal,Normal,Normal,Normal,Normal,2,2,1,1,1,1,Normal,Normal,Normal,Normal,Normal,Normal,ECODOBEM-00000020104,167.4,6.9,0.2,29.9,2026-5-20T15:25:59.000000,esp32-s3,2026-05-20T03:26:01.256824,0,1
6a0d625dc7fdd1c8900f899b,ECODOBEM-00000020105,28a35164982e48c3bd6301c13fe4b93b03f78f2c8f36347357029c697bca7e5a,2026-05-20T03:27:25.418752,2026-05-20 15:27:25,1,1,1,1,1,1,Normal,Normal,Normal,Normal,Normal,Normal,2,1,1,1,2,1,Normal,Normal,Normal,Normal,Normal,Normal,ECODOBEM-00000020105,167.2,6.9,0.2,29.9,2026-5-20T15:27:23.000000,esp32-s3,2026-05-20T03:27:25.418752,0,1
6a0d62b2c7fdd1c8900f899c,ECODOBEM-00000020106,37ef636e1d5aafc25aa4e0607d71bdd31e2f1e2ba2b37a29d39d37908e85e3c6,2026-05-20T03:28:49.768837,2026-05-20 15:28:50,1,1,1,1,1,1,Normal,Normal,Normal,Normal,Normal,Normal,1,1,1,1,1,1,Normal,Normal,Normal,Normal,Normal,Normal,ECODOBEM-00000020106,167.3,7.0,0.2,29.9,2026-5-20T15:28:47.000000,esp32-s3,2026-05-20T03:28:49.768837,0,1
6a0d6306c7fdd1c8900f899d,ECODOBEM-00000020107,d5ac8dea92a731f82158398c325ce88418b8ec33e9c44bea16ac7300cf4f19a0,2026-05-20T03:30:14.043051,2026-05-20 15:30:14,2,1,1,1,1,1,Normal,Normal,Normal,Normal,Normal,Normal,1,1,1,1,1,1,Normal,Normal,Normal,Normal,Normal,Normal,ECODOBEM-00000020107,167.3,7.0,0.2,29.9,2026-5-20T15:30:11.000000,esp32-s3,2026-05-20T03:30:14.043051,0,1
6a0d635ac7fdd1c8900f899e,ECODOBEM-00000020108,d94b15d85824bbcf849f5a63626906af94f3dba724377b9c2b3af4f2e262a52d,2026-05-20T03:31:38.029712,2026-05-20 15:31:38,1,1,1,1,1,1,Normal,Normal,Normal,Normal,Normal,Normal,1,1,1,1,1,1,Normal,Normal,Normal,Normal,Normal,Normal,ECODOBEM-00000020108,167.2,7.0,0.2,29.8,2026-5-20T15:31:35.000000,esp32-s3,2026-05-20T03:31:38.029712,0,1
6a0d63aec7fdd1c8900f899f,ECODOBEM-00000020109,0cee5d1766f85de86b09484e58cdb5c71d26531d4a4ae743f8d463d7ed7baf79,2026-05-20T03:33:02.405857,2026-05-20 15:33:02,1,1,1,1,1,1,Normal,Normal,Normal,Normal,Normal,Normal,1,1,1,1,1,1,Normal,Normal,Normal,Normal,Normal,Normal,ECODOBEM-00000020109,167.5,7.0,0.2,29.8,2026-5-20T15:33:00.000000,esp32-s3,2026-05-20T03:33:02.405857,0,1
6a0d6402c7fdd1c8900f89a0,ECODOBEM-00000020110,e6669f62cb9197abdc93433128600856e8312fe1f8da75bc31709da633484943,2026-05-20T03:34:26.420122,2026-05-20 15:34:26,1,1,1,1,1,1,Normal,Normal,Normal,Normal,Normal,Normal,1,1,1,1,1,1,Normal,Normal,Normal,Normal,Normal,Normal,ECODOBEM-00000020110,167.4,7.0,0.2,29.8,2026-5-20T15:34:24.000000,esp32-s3,2026-05-20T03:34:26.420122,0,1
6a0d6459c7fdd1c8900f89a1,ECODOBEM-00000020111,dcc4956b79cbd8c1e13d875309dd12a3196eba17c5f394587e06ce8a29738c07,2026-05-20T03:35:52.812456,2026-05-20 15:35:53,1,1,1,1,1,1,Normal,Normal,Normal,Normal,Normal,Normal,1,1,1,1,1,1,Normal,Normal,Normal,Normal,Normal,Normal,ECODOBEM-00000020111,166.8,7.0,0.2,29.8,2026-5-20T15:35:48.000000,esp32-s3,2026-05-20T03:35:52.812456,0,1
6a0d64abc7fdd1c8900f89a2,ECODOBEM-00000020112,47a79a5597576738134b22ac3683e5d6311d6606adfaec5f9e8e2d9a572134e5,2026-05-20T03:37:14.886958,2026-05-20 15:37:15,1,1,1,1,1,1,Normal,Normal,Normal,Normal,Normal,Normal,1,1,1,1,1,1,Normal,Normal,Normal,Normal,Normal,Normal,ECODOBEM-00000020112,167.4,7.0,0.2,29.8,2026-5-20T15:37:12.000000,esp32-s3,2026-05-20T03:37:14.886958,0,1
6a0d6501c7fdd1c8900f89a3,ECODOBEM-00000020113,b7b1a179e2038091d3027b9da52fe7d6445d8b2c71d38e4e72f7f0250163d148,2026-05-20T03:38:41.296614,2026-05-20 15:38:41,1,1,1,1,1,1,Normal,Normal,Normal,Normal,Normal,Normal,1,1,1,1,1,1,Normal,Normal,Normal,Normal,Normal,Normal,ECODOBEM-00000020113,167.5,7.0,0.2,29.8,2026-5-20T15:38:36.000000,esp32-s3,2026-05-20T03:38:41.296614,0,1
6a0d6553c7fdd1c8900f89a4,ECODOBEM-00000020114,711bc271a6fa4c16c958e399f8e8c8407d65844c0d59ab1dd36d135fb4a3dedb,2026-05-20T03:40:03.278806,2026-05-20 15:40:03,1,1,1,1,1,1,Normal,Normal,Normal,Normal,Normal,Normal,1,1,1,1,1,1,Normal,Normal,Normal,Normal,Normal,Normal,ECODOBEM-00000020114,167.3,7.1,0.2,29.8,2026-5-20T15:40:00.000000,esp32-s3,2026-05-20T03:40:03.278806,0,1
6a0d65a7c7fdd1c8900f89a5,ECODOBEM-00000020115,98132faf70f67f0fa995764a63608f0a0d92d7e0eb05ae6e03ef186f9f83fb86,2026-05-20T03:41:27.454390,2026-05-20 15:41:27,1,1,1,1,1,1,Normal,Normal,Normal,Normal,Normal,Normal,1,1,1,1,1,1,Normal,Normal,Normal,Normal,Normal,Normal,ECODOBEM-00000020115,167.4,7.1,0.2,29.8,2026-5-20T15:41:25.000000,esp32-s3,2026-05-20T03:41:27.454390,0,1
6a0d65fcc7fdd1c8900f89a6,ECODOBEM-00000020116,59cd6e0e3037a8de2faeffef38aad216153da86b13a39403593a2e43bfe0e1a5,2026-05-20T03:42:52.202860,2026-05-20 15:42:52,1,1,1,1,1,1,Normal,Normal,Normal,Normal,Normal,Normal,1,1,1,1,1,1,Normal,Normal,Normal,Normal,Normal,Normal,ECODOBEM-00000020116,167.6,7.1,0.2,29.8,2026-5-20T15:42:49.000000,esp32-s3,2026-05-20T03:42:52.202860,0,1
6a0d6650c7fdd1c8900f89a7,ECODOBEM-00000020117,7e2caef7feb30f77546132ae31b0b7277e567d09e9dc5d6e114b8cb5d0002c02,2026-05-20T03:44:16.321715,2026-05-20 15:44:16,1,1,1,1,1,1,Normal,Normal,Normal,Normal,Normal,Normal,1,1,1,1,1,1,Normal,Normal,Normal,Normal,Normal,Normal,ECODOBEM-00000020117,167.4,7.1,0.2,29.8,2026-5-20T15:44:13.000000,esp32-s3,2026-05-20T03:44:16.321715,0,1
6a0d66a4c7fdd1c8900f89a8,ECODOBEM-00000020118,69df2e2d4ca719a25f56b0d5cfd3ec453332cf76644592db61442ac57b9dbab7,2026-05-20T03:45:40.011066,2026-05-20 15:45:40,1,1,1,1,1,1,Normal,Normal,Normal,Normal,Normal,Normal,1,1,1,1,1,1,Normal,Normal,Normal,Normal,Normal,Normal,ECODOBEM-00000020118,167.4,7.1,0.2,29.8,2026-5-20T15:45:37.000000,esp32-s3,2026-05-20T03:45:40.011066,0,1
6a0d66f8c7fdd1c8900f89a9,ECODOBEM-00000020119,1cfd7e72ae2d3f8b41463a3823b0918d4ee5c52d4607a8b327b540c188a440ec,2026-05-20T03:47:04.283440,2026-05-20 15:47:04,1,1,1,1,1,1,Normal,Normal,Normal,Normal,Normal,Normal,1,1,1,1,1,1,Normal,Normal,Normal,Normal,Normal,Normal,ECODOBEM-00000020119,167.2,7.1,0.2,29.8,2026-5-20T15:47:02.000000,esp32-s3,2026-05-20T03:47:04.283440,0,1
6a0d674cc7fdd1c8900f89aa,ECODOBEM-00000020120,bd961098f786f0f5cefe68aa68492e3f9cdae8c9a289bd44487df23591541624,2026-05-20T03:48:28.447485,2026-05-20 15:48:28,1,1,1,1,1,1,Normal,Normal,Normal,Normal,Normal,Normal,1,1,1,1,1,1,Normal,Normal,Normal,Normal,Normal,Normal,ECODOBEM-00000020120,166.9,7.1,0.2,29.8,2026-5-20T15:48:26.000000,esp32-s3,2026-05-20T03:48:28.447485,0,1
6a0d67a3c7fdd1c8900f89ab,ECODOBEM-00000020121,28d7ec6c61682b7d26698c71732ec4570b8d50f4ce2c6f6bc7b92f3303521869,2026-05-20T03:49:54.772924,2026-05-20 15:49:55,1,1,1,1,1,1,Normal,Normal,Normal,Normal,Normal,Normal,1,1,1,1,1,1,Normal,Normal,Normal,Normal,Normal,Normal,ECODOBEM-00000020121,167.3,7.1,0.2,29.8,2026-5-20T15:49:50.000000,esp32-s3,2026-05-20T03:49:54.772924,0,1
6a0d67f5c7fdd1c8900f89ac,ECODOBEM-00000020122,2996a9d85399a9d2791804dfa2ae34f1655f7488ebef9b2185ce8d83a5dd61e0,2026-05-20T03:51:16.766464,2026-05-20 15:51:17,1,1,1,1,1,1,Normal,Normal,Normal,Normal,Normal,Normal,1,1,1,1,1,1,Normal,Normal,Normal,Normal,Normal,Normal,ECODOBEM-00000020122,167.1,7.1,0.2,29.8,2026-5-20T15:51:14.000000,esp32-s3,2026-05-20T03:51:16.766464,0,1
6a0d6849c7fdd1c8900f89ad,ECODOBEM-00000020123,fca8e83dfc0fec5310cb3ee445c76796aa3b66631d6da93e9b1019bf1fc6706d,2026-05-20T03:52:41.063133,2026-05-20 15:52:41,1,1,1,1,1,1,Normal,Normal,Normal,Normal,Normal,Normal,1,1,1,1,1,1,Normal,Normal,Normal,Normal,Normal,Normal,ECODOBEM-00000020123,167.4,7.1,0.2,29.8,2026-5-20T15:52:38.000000,esp32-s3,2026-05-20T03:52:41.063133,0,1
6a0d69c0c7fdd1c8900f89ae,ECODOBEM-00000020125,74755b1c3909afebf824b51c0965d9f51cbeda3636f338dbb48aedbb9337a2f8,2026-05-20T03:58:56.396804,2026-05-20 15:58:56,5,5,5,5,5,5,Anomaly,Anomaly,Anomaly,Anomaly,Anomaly,Anomaly,5,5,5,4,5,5,Anomaly,Anomaly,Anomaly,Anomaly,Normal,Anomaly,ECODOBEM-00000020125,1424.8,5.2,394.9,29.4,2026-5-20T15:58:54.000000,esp32-s3,2026-05-20T03:58:56.396804,1,5
6a0d6a15c7fdd1c8900f89af,ECODOBEM-00000020126,1d363da51e2975361ce8c88ea66a5d0933ab1890ff58b99ee6c3de0bf2946071,2026-05-20T04:00:20.697711,2026-05-20 16:00:21,5,5,5,5,5,5,Anomaly,Anomaly,Anomaly,Anomaly,Anomaly,Anomaly,5,5,5,4,5,5,Anomaly,Anomaly,Anomaly,Anomaly,Normal,Anomaly,ECODOBEM-00000020126,1479.9,5.2,279.9,29.4,2026-5-20T16:00:18.000000,esp32-s3,2026-05-20T04:00:20.697711,1,5
6a0d6a6bc7fdd1c8900f89b0,ECODOBEM-00000020127,c2fcdba72412cfd0f75f1d7fbb9aabe688cfbb6922719bc85c6434c3921f8148,2026-05-20T04:01:46.567678,2026-05-20 16:01:47,4,4,5,5,5,5,Normal,Anomaly,Anomaly,Normal,Anomaly,Anomaly,5,5,5,4,5,5,Anomaly,Anomaly,Anomaly,Anomaly,Normal,Anomaly,ECODOBEM-00000020127,1521.1,5.2,242.3,29.3,2026-5-20T16:01:43.000000,esp32-s3,2026-05-20T04:01:46.567678,1,5
6a0d6abec7fdd1c8900f89b1,ECODOBEM-00000020128,5a9010aef93a56bad031f877db1bdfbea887648db9e4e78367d18d8679fc5b66,2026-05-20T04:03:09.886297,2026-05-20 16:03:10,4,4,5,5,5,5,Normal,Anomaly,Anomaly,Normal,Anomaly,Anomaly,5,5,5,4,5,5,Anomaly,Anomaly,Anomaly,Anomaly,Normal,Anomaly,ECODOBEM-00000020128,1561.0,5.2,223.1,29.1,2026-5-20T16:03:07.000000,esp32-s3,2026-05-20T04:03:09.886297,1,5
6a0d6b11c7fdd1c8900f89b2,ECODOBEM-00000020129,a677049f977e0e0eed446dcd282cac832c54985bd3cbcc64fc3f93428a16c755,2026-05-20T04:04:33.287985,2026-05-20 16:04:33,4,4,5,5,5,5,Normal,Anomaly,Anomaly,Normal,Anomaly,Anomaly,5,5,5,4,5,5,Anomaly,Anomaly,Anomaly,Anomaly,Normal,Anomaly,ECODOBEM-00000020129,1584.5,5.2,218.4,28.9,2026-5-20T16:04:31.000000,esp32-s3,2026-05-20T04:04:33.287985,1,5
